OTU ID,MH001P_S18,MH003P_S39,MH005P_S35,MH007P_S7,MH009P_S56,MH011P_S23,MH013P_S36,MH015P_S53,MH017P_S17,MH019P_S28,MH021P_S26,MH023P_S54,MH025P_S24,MH026S_S37,MH027S_S22,MH028SC_S57,MH028S_S13,MH030S_S52,MH031S_S51,MH034P_S33,MH034S_S20,MH035P_S1,MH035S_S11,MH036P_S42,MH036S_S55,MH038P_S15,MH038S_S4,MH039P_S48,MH039S_S9,MH040P_S63,MH040S_S27,MH041S_S38,MH041P_S6,MH047P_S31,MH047S_S46,MH048P_S2,MH048S_S44,MH049P_S41,MH049S_S50,MH050P_S45,MH050S_S32,MH056P_S60,MH056S_S29,MH057P_S47,MH057S_S8,MH058P_S21,MH058S_S34,MH059S_S49,MH060S_S16,MH061S_S59,MH063SR_S62,MH063S_S10
MH18_bOTU_3493,25,1,3,1,0,2,2,1,2,13,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,5,0,2,0,1,2,4,0,1,0,6,0,6,0,5,0,10,0,10,0,0,0,0,0,0
MH18_bOTU_2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0
MH18_bOTU_2150,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0
MH18_bOTU_3798,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,3,33,0,44,0,14
MH18_bOTU_2162,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0
MH18_bOTU_2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,106,0,0
MH18_bOTU_2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,106,0
MH18_bOTU_2058,10,2,1,3,1,4,3,1,4,1,2,0,1,0,0,0,0,0,0,3,0,0,0,4,0,10,0,2,0,7,0,0,7,8,0,0,0,20,0,7,0,2,2,3,0,0,0,0,0,0,0,0
MH18_bOTU_2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0
MH18_bOTU_1871,1,3,0,0,0,0,0,0,0,0,0,0,0,53,16,5,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
